,5.000000,57.000000
1152,28.06,39.0
1153,28.08,48.0
1154,28.1,56.0
1155,28.12,39.0
1156,28.14,39.0
1157,28.16,43.0
1158,28.18,50.0
1159,28.2,36.0
1160,28.22,45.0
1161,28.24,55.0
1162,28.26,46.0
1163,28.28,48.0
1164,28.3,49.0
1165,28.32,36.0
1166,28.34,51.0
1167,28.36,36.0
1168,28.38,37.0
1169,28.4,41.0
1170,28.42,54.0
1171,28.44,37.0
1172,28.46,45.0
1173,28.48,45.0
1174,28.5,62.0
1175,28.52,55.0
1176,28.54,43.0
1177,28.56,50.0
1178,28.58,51.0
1179,28.6,63.0
1180,28.62,57.0
1181,28.64,42.0
1182,28.66,53.0
1183,28.68,53.0
1184,28.7,63.0
1185,28.72,66.0
1186,28.74,55.0
1187,28.76,79.0
1188,28.78,68.0
1189,28.8,70.0
1190,28.82,93.0
1191,28.84,101.0
1192,28.86,108.0
1193,28.88,110.0
1194,28.9,126.0
1195,28.92,141.0
1196,28.94,126.0
1197,28.96,120.0
1198,28.98,113.0
1199,29.0,115.0
1200,29.02,74.0
1201,29.04,70.0
1202,29.06,81.0
1203,29.08,68.0
1204,29.1,80.0
1205,29.12,68.0
1206,29.14,69.0
1207,29.16,69.0
1208,29.18,63.0
1209,29.2,72.0
1210,29.22,70.0
1211,29.24,71.0
1212,29.26,77.0
1213,29.28,76.0
1214,29.3,84.0
1215,29.32,79.0
1216,29.34,80.0
1217,29.36,70.0
1218,29.38,109.0
1219,29.4,85.0
1220,29.42,89.0
1221,29.44,84.0
1222,29.46,66.0
1223,29.48,77.0
1224,29.5,70.0
1225,29.52,76.0
1226,29.54,64.0
1227,29.56,72.0
1228,29.58,85.0
1229,29.6,65.0
1230,29.62,45.0
1231,29.64,74.0
1232,29.66,70.0
1233,29.68,61.0
1234,29.7,66.0
1235,29.72,64.0
1236,29.74,73.0
1237,29.76,86.0
1238,29.78,64.0
1239,29.8,66.0
1240,29.82,85.0
1241,29.84,71.0
1242,29.86,82.0
1243,29.88,63.0
1244,29.9,81.0
1245,29.92,69.0
1246,29.94,83.0
1247,29.96,82.0
1248,29.98,96.0
1249,30.0,88.0
1250,30.02,92.0
1251,30.04,81.0
1252,30.06,68.0
1253,30.08,89.0
1254,30.1,70.0
1255,30.12,85.0
1256,30.14,73.0
1257,30.16,74.0
1258,30.18,63.0
1259,30.2,65.0
1260,30.22,62.0
1261,30.24,54.0
1262,30.26,61.0
1263,30.28,54.0
1264,30.3,69.0
